unix_timestamp,active_power (mW)
1769531491248166,44260
1769531491290983,43500
1769531491335304,45730
1769531491377792,45720
1769531491420821,45740
1769531491463761,45620
1769531491506545,45710
1769531491549711,45700
1769531491592628,45690
1769531491635426,45630
1769531491677706,45650
1769531491720050,45740
1769531491763174,45690
1769531491806220,45860
1769531491849423,45760
1769531491895237,45790
1769531491938408,45770
1769531491981534,45880
1769531492024371,45870
1769531492067475,45840
1769531492110504,45830
1769531492153510,45840
1769531492196740,45870
1769531492239822,45950
1769531492282267,45900
1769531492324665,45940
1769531492367586,45930
1769531492410056,45910
1769531492455174,45940
1769531492498347,45810
1769531492541416,45780
1769531492584419,45790
1769531492627155,45910
1769531492670310,45840
1769531492713248,45830
1769531492756197,45900
1769531492799073,45990
1769531492841644,45870
1769531492884780,45900
1769531492927583,45890
1769531492970794,45880
1769531493015136,45920
1769531493057820,45880
1769531493100019,45900
1769531493142709,45940
1769531493185632,45960
1769531493228755,45880
1769531493271707,46000
1769531493314709,45970
1769531493358183,45980
1769531493401287,45910
1769531493444299,45940
1769531493487395,45960
1769531493530688,45880
1769531493574986,45840
1769531493618173,45920
1769531493660605,45900
1769531493703634,45820
1769531493746299,45920
1769531493789279,45850
1769531493832419,45940
1769531493875240,45830
1769531493918395,45800
1769531493961506,45790
1769531494004425,45800
1769531494046959,45750
1769531494090155,45770
1769531494134819,45730
1769531494177936,45700
1769531494221079,45700
1769531494264186,45730
1769531494307223,45760
1769531494350012,45690
1769531494392487,45670
1769531494435173,45700
1769531494477789,45710
1769531494520736,45610
1769531494563845,45740
1769531494606450,45710
1769531494649536,45740
1769531494694691,45690
1769531494737827,45700
1769531494780656,45770
1769531494823534,45700
1769531494866788,45870
1769531494909758,45730
1769531494952833,45770
1769531494995757,45750
1769531495038397,45820
1769531495081407,45830
1769531495124494,45810
1769531495167531,45890
1769531495209861,45780
1769531495254563,45860
1769531495297200,45900
1769531495340227,45880
1769531495382727,45880
1769531495425753,45930
1769531495468776,45880
1769531495511730,45960
1769531495554864,45890
1769531495597906,45840
1769531495640895,45850
1769531495684006,45860
1769531495726993,45830
1769531495770085,45740
1769531495814440,45750
1769531495857588,45910
1769531495900420,45750
1769531495943586,45710
1769531495986690,45700
1769531496029769,45690
1769531496072018,45730
1769531496114604,45750
1769531496157682,45730
1769531496200736,45740
1769531496243704,45700
1769531496286692,45760
1769531496329613,45760
1769531496374352,45730
1769531496417445,45710
1769531496460467,45780
1769531496503540,45830
1769531496546497,45790
1769531496589720,45820
1769531496632809,45710
1769531496675786,45820
1769531496718848,45880
1769531496761781,45900
1769531496804770,45860
1769531496847601,45880
1769531496894314,46050
1769531496937159,45970
1769531496980287,45900
1769531497023595,45870
1769531497066719,45900
1769531497109521,45920
1769531497152492,45870
1769531497195715,45910
1769531497238756,45900
1769531497281634,45870
1769531497324680,45900
1769531497367425,45970
1769531497409890,45910
1769531497454244,45870
1769531497497307,45890
1769531497540267,45930
1769531497583401,45840
1769531497625906,45850
1769531497669101,45850
1769531497712164,45810
1769531497754600,45820
1769531497796942,45850
1769531497839779,45840
1769531497882706,45960
1769531497925776,46060
1769531497968812,45880
1769531498014267,45840
1769531498056994,45860
1769531498100195,45900
1769531498143335,45820
1769531498186541,45840
1769531498229758,45860
1769531498272796,45900
1769531498315745,45860
1769531498359571,45900
