unix_timestamp,active_power (mW)
1774621430614947,45010
1774621430657159,45110
1774621430699896,45070
1774621430742454,45060
1774621430785560,45180
1774621430828545,45230
1774621430873092,45080
1774621430915791,45060
1774621430958753,45220
1774621431001605,45230
1774621431044683,45040
1774621431087346,45130
1774621431130383,45130
1774621431173462,45230
1774621431216355,45140
1774621431259455,45170
1774621431302568,45160
1774621431345477,45180
1774621431392663,45080
1774621431435731,45150
1774621431478822,45150
1774621431521669,45060
1774621431564792,45180
1774621431607602,45130
1774621431650439,45020
1774621431693581,45050
1774621431736724,45200
1774621431779785,45140
1774621431822140,45150
1774621431865344,45120
1774621431912082,45190
1774621431955181,45180
1774621431998363,45120
1774621432041558,47860
1774621432084602,45190
1774621432127579,45110
1774621432170569,45280
1774621432213792,45080
1774621432256994,45130
1774621432300073,45110
1774621432343302,45050
1774621432386461,45080
1774621432431465,44990
1774621432474631,45090
1774621432517801,45090
1774621432560833,45110
1774621432603826,45030
1774621432646897,45040
1774621432690061,45200
1774621432733215,45080
1774621432776386,44990
1774621432819524,45100
1774621432862303,45110
1774621432905498,45090
1774621432950905,45040
1774621432994071,45050
1774621433037177,45130
1774621433079718,44910
1774621433122878,45070
1774621433165568,45120
1774621433208839,45130
1774621433251967,44970
1774621433295222,45070
1774621433338263,45130
1774621433381367,45080
1774621433424553,44940
1774621433470375,45200
1774621433513543,45150
1774621433556653,45080
1774621433599779,45050
1774621433642358,45160
1774621433685520,45070
1774621433728718,44990
1774621433771852,45160
1774621433814718,45160
1774621433857835,45070
1774621433900899,45070
1774621433943940,45120
1774621433989992,45060
1774621434033089,45040
1774621434075706,45080
1774621434118438,45020
1774621434161573,45090
1774621434204721,44990
1774621434247510,45020
1774621434290264,45080
1774621434333493,45070
1774621434376284,44980
1774621434419437,45020
1774621434462613,45100
1774621434509342,45010
1774621434552412,45090
1774621434595713,45050
1774621434638764,45030
1774621434681785,45090
1774621434724872,45140
1774621434767840,45080
1774621434810972,45010
1774621434853604,45070
1774621434896372,45130
1774621434939493,45090
1774621434982608,44990
1774621435028732,45080
1774621435071787,44990
1774621435114580,45040
1774621435157771,45160
1774621435200590,45040
1774621435243743,44940
1774621435286904,45100
1774621435330084,45190
1774621435373271,45170
1774621435416009,45030
1774621435458973,45060
1774621435502046,45080
1774621435548219,45110
1774621435591332,45100
1774621435633798,45060
1774621435676891,45130
1774621435719778,45020
1774621435762888,45090
1774621435806122,45100
1774621435849219,45000
1774621435892368,45080
1774621435935220,45120
1774621435978308,45040
1774621436021136,45030
1774621436067546,45040
1774621436110620,44990
1774621436153836,45160
1774621436196843,45280
1774621436239775,45030
1774621436282925,45040
1774621436325870,45050
1774621436368915,45170
1774621436411714,45090
1774621436454735,45100
1774621436497753,45230
1774621436540789,45200
1774621436587038,45030
1774621436629771,45120
1774621436672887,45130
1774621436716048,44990
1774621436758893,45060
1774621436802071,45100
1774621436845105,45020
1774621436888066,45030
1774621436931195,45150
1774621436974342,45020
1774621437017539,44970
1774621437060611,45130
1774621437106446,45050
1774621437149182,44960
1774621437192348,45120
1774621437235033,45200
