unix_timestamp,active_power (mW)
1774624405553581,48460
1774624405595990,48510
1774624405638634,48440
1774624405683474,48590
1774624405725823,48470
1774624405768883,48570
1774624405812030,48560
1774624405855213,48460
1774624405898272,48460
1774624405941357,48550
1774624405984249,48470
1774624406027184,48610
1774624406069743,48560
1774624406112859,48490
1774624406155527,48420
1774624406197993,48460
1774624406243898,48620
1774624406286716,48530
1774624406329529,48460
1774624406372385,48550
1774624406415355,48410
1774624406458490,48520
1774624406501428,48610
1774624406544347,48590
1774624406587268,48540
1774624406630270,48290
1774624406673451,48510
1774624406716438,48580
1774624406759098,48560
1774624406804225,48530
1774624406847421,48490
1774624406890448,48540
1774624406933507,48490
1774624406976515,48470
1774624407019563,48510
1774624407062641,48480
1774624407105833,48510
1774624407148906,48520
1774624407191707,48530
1774624407234875,48430
1774624407277897,48500
1774624407324705,48510
1774624407367511,48560
1774624407410182,48490
1774624407453268,48500
1774624407496414,48570
1774624407539532,48480
1774624407582692,48540
1774624407625697,48540
1774624407668931,48500
1774624407711824,48500
1774624407754805,48510
1774624407797875,48550
1774624407840896,48630
1774624407885350,48510
1774624407928615,48620
1774624407971138,48450
1774624408014257,48530
1774624408057337,48620
1774624408100379,48550
1774624408143220,48520
1774624408186264,48530
1774624408229351,48520
1774624408272369,48490
1774624408315384,48540
1774624408358464,48500
1774624408401404,48470
1774624408445714,48530
1774624408488824,48720
1774624408531894,48590
1774624408574573,48530
1774624408617688,48510
1774624408660788,48480
1774624408703998,48520
1774624408747182,48600
1774624408789710,48580
1774624408832790,48610
1774624408875837,48400
1774624408918887,48460
1774624408961669,48560
1774624409006064,48630
1774624409049160,48530
1774624409092126,48460
1774624409135218,48530
1774624409177705,48470
1774624409220755,48570
1774624409263948,48550
1774624409307017,48530
1774624409350231,48480
1774624409393302,48450
1774624409436353,48630
1774624409479573,48600
1774624409526374,48460
1774624409569237,48390
1774624409612271,48510
1774624409655073,48570
1774624409698291,48520
1774624409741534,48490
1774624409784386,48460
1774624409827452,48500
1774624409870215,48410
1774624409913347,48560
1774624409956356,48500
1774624409999493,48430
1774624410042459,48350
1774624410086849,48470
1774624410129957,48560
1774624410172995,48530
1774624410216094,48410
1774624410259093,48450
1774624410302151,48490
1774624410345122,48490
1774624410388112,48530
1774624410431344,48610
1774624410474206,48440
1774624410517392,48460
1774624410560459,48490
1774624410607219,48620
1774624410649705,48580
1774624410692819,48610
1774624410735811,48490
1774624410778631,48640
1774624410821604,48550
1774624410864597,48600
1774624410907622,48660
1774624410950624,48620
1774624410993658,48590
1774624411036571,48570
1774624411079404,48530
1774624411122604,48640
1774624411167793,48580
1774624411210893,48490
1774624411254216,48530
1774624411297215,48510
1774624411340229,48530
1774624411383336,48550
