unix_timestamp,active_power (mW)
1774625585777483,49380
1774625585820234,49300
1774625585862924,49510
1774625585906135,49470
1774625585949140,49440
1774625585992194,49580
1774625586035104,49410
1774625586078326,49680
1774625586121093,49810
1774625586164086,49790
1774625586207070,49900
1774625586250068,49810
1774625586295551,49610
1774625586338396,49760
1774625586381534,49810
1774625586424715,49830
1774625586467585,49750
1774625586510569,49910
1774625586553622,49720
1774625586596877,49750
1774625586639840,49850
1774625586683032,49780
1774625586725580,49850
1774625586768745,49860
1774625586815657,49870
1774625586858884,49820
1774625586901697,49810
1774625586944720,49790
1774625586987292,49860
1774625587030332,49810
1774625587073382,49690
1774625587116432,49720
1774625587159332,49670
1774625587202365,49620
1774625587245175,49670
1774625587288359,49650
1774625587331580,49690
1774625587375976,49700
1774625587418982,49740
1774625587462202,49760
1774625587505150,49780
1774625587548111,49820
1774625587591085,49760
1774625587634150,49830
1774625587677209,49880
1774625587720143,49840
1774625587762937,49810
1774625587805907,49790
1774625587849046,49780
1774625587895900,49700
1774625587939026,49660
1774625587981769,49690
1774625588024815,49750
1774625588067961,49740
1774625588111185,49720
1774625588154109,49890
1774625588197075,49920
1774625588240234,49940
1774625588282924,49850
1774625588326002,49720
1774625588369009,49700
1774625588412174,49660
1774625588456066,49590
1774625588499214,49740
1774625588542155,49630
1774625588585249,49570
1774625588628264,49680
1774625588671324,49540
1774625588714530,49490
1774625588757583,49500
1774625588800760,49570
1774625588843978,49730
1774625588886659,49740
1774625588929865,49680
1774625588976216,49750
1774625589019378,49710
1774625589062415,49670
1774625589105505,49640
1774625589148569,49610
1774625589191609,49690
1774625589234761,49680
1774625589277758,49700
1774625589320892,49660
1774625589364038,49700
1774625589407016,49730
1774625589450011,49720
1774625589496463,49730
1774625589539691,49700
1774625589582750,49700
1774625589625757,49660
1774625589668936,49740
1774625589711794,49650
1774625589754888,49690
1774625589797922,49690
1774625589841092,49690
1774625589884231,49690
1774625589926781,49740
1774625589969997,49800
1774625590016504,49660
1774625590059562,49710
1774625590102452,49740
1774625590145458,49570
1774625590188613,49750
1774625590231536,49640
1774625590274638,49740
1774625590317268,49680
1774625590360527,49700
1774625590403711,49690
1774625590446861,49650
1774625590489779,49680
1774625590536590,49770
1774625590579010,49550
1774625590621601,49430
1774625590664854,49530
1774625590707947,49540
1774625590750606,49520
1774625590793781,49540
1774625590836703,49480
1774625590879876,49500
1774625590922907,49560
1774625590965638,49580
1774625591008516,49560
1774625591051247,49530
1774625591096783,49620
1774625591139898,49570
1774625591182388,49680
1774625591225494,49650
1774625591268656,49580
1774625591311675,49360
1774625591354480,49340
1774625591398146,49360
1774625591441381,49320
1774625591484467,49400
1774625591527496,49360
1774625591571025,49320
1774625591616768,49370
1774625591659627,49320
1774625591702353,49330
1774625591745339,49350
1774625591787811,49310
1774625591830678,49480
1774625591873917,49380
1774625591916992,49400
1774625591959980,49510
1774625592003054,49380
1774625592046202,49420
1774625592089391,49350
1774625592132310,49360
1774625592177081,49280
1774625592220151,49240
1774625592262884,49190
1774625592305873,49250
1774625592349094,49250
1774625592391961,49230
1774625592434899,49160
1774625592477713,49250
1774625592520669,49320
1774625592563772,49270
1774625592606355,49260
1774625592649258,49300
1774625592692202,49220
1774625592737209,49290
1774625592780075,49290
1774625592823236,49290
1774625592866247,49190
1774625592909287,49250
1774625592951725,49280
1774625592994339,49280
1774625593037311,49290
1774625593079793,49340
1774625593122859,49340
1774625593165981,49430
1774625593209030,49380
1774625593252091,49340
1774625593297304,49460
1774625593340333,49370
1774625593383331,49460
1774625593426514,49420
1774625593469698,49390
1774625593512808,49380
1774625593555504,49400
1774625593597929,49280
1774625593640938,49370
1774625593684136,49230
1774625593727359,49480
1774625593770244,49410
1774625593813445,49490
1774625593857550,49420
1774625593900519,49360
1774625593943478,49380
1774625593986665,49450
1774625594029704,49330
1774625594072936,49340
1774625594116044,49530
1774625594158963,49470
1774625594201311,49510
1774625594244297,49380
1774625594287239,49370
1774625594329788,49520
1774625594372973,49460
1774625594417730,49380
1774625594460926,49410
1774625594504018,49560
1774625594547036,49420
1774625594590183,49520
1774625594633188,49490
1774625594676258,49390
1774625594719131,49420
1774625594761739,49390
1774625594804242,49350
1774625594847346,49350
1774625594890573,49460
1774625594933627,50640
1774625594977940,49320
1774625595021150,49400
1774625595064141,49420
1774625595107196,49410
1774625595150141,49400
1774625595193276,49390
1774625595236249,49420
1774625595279253,49240
1774625595322271,49260
1774625595365142,49270
1774625595408164,49350
1774625595450852,49310
1774625595493824,49350
1774625595538245,49310
1774625595581038,49320
1774625595623967,49230
1774625595666987,49240
1774625595710144,49250
1774625595753322,49260
1774625595796187,49260
1774625595839209,49220
1774625595882198,49300
1774625595925200,49210
1774625595968149,49290
1774625596010927,49220
1774625596053404,49200
1774625596098455,49200
1774625596141628,49260
1774625596184602,49240
1774625596227812,49260
1774625596270964,49250
1774625596313914,49280
1774625596356886,49230
1774625596400044,49270
1774625596443280,49280
1774625596486369,49280
1774625596529329,49340
1774625596572344,49290
1774625596618713,49330
1774625596661897,49250
1774625596705150,49320
1774625596748213,49290
1774625596790928,49280
1774625596833676,49250
1774625596876656,49260
1774625596919517,49260
1774625596962496,49290
1774625597005703,49290
1774625597048793,49300
1774625597091802,49220
1774625597135094,49240
1774625597178996,49250
1774625597222076,49280
1774625597265219,49210
1774625597308306,49290
1774625597351357,49250
1774625597394335,49360
1774625597437344,49230
1774625597480445,49200
1774625597523450,49180
1774625597566318,49230
1774625597609445,49260
1774625597652644,49230
1774625597699235,49300
1774625597741759,49270
1774625597785010,49270
1774625597828242,49260
1774625597871164,49260
1774625597914302,49230
1774625597957275,49220
1774625598000383,49220
1774625598043244,49340
1774625598085806,49240
1774625598128999,49220
1774625598171925,49210
1774625598215123,49200
1774625598259591,49260
1774625598302658,49220
1774625598345649,49170
1774625598388689,49270
1774625598431772,49270
1774625598475026,49270
1774625598517625,49280
1774625598560639,49250
1774625598603611,49330
1774625598646746,49340
1774625598689644,49280
1774625598732739,49220
1774625598775945,49260
1774625598819859,49190
1774625598862800,49280
1774625598905944,49290
1774625598949190,49230
1774625598992393,49300
1774625599035331,49270
1774625599078438,49220
1774625599121385,49250
1774625599164415,49240
1774625599207376,49280
1774625599250351,49260
1774625599293523,49240
1774625599336024,49310
1774625599380140,49220
1774625599423289,49210
1774625599466266,49240
1774625599509436,49170
1774625599552282,49320
1774625599595383,49320
1774625599638143,49340
1774625599681271,49250
1774625599724242,49240
1774625599767072,49290
1774625599810064,49220
1774625599853176,49240
1774625599896274,49280
1774625599940537,49310
1774625599983621,49220
1774625600026603,49200
1774625600069785,49250
1774625600112929,49240
