unix_timestamp,active_power (mW)
1769680302451859,32700
1769680302494627,24810
1769680302536916,40340
1769680302580043,47580
1769680302624234,47460
1769680302667328,47520
1769680302709843,47410
1769680302753025,47470
1769680302795639,47410
1769680302838713,47500
1769680302881759,47340
1769680302924912,47450
1769680302967972,47430
1769680303010634,47470
1769680303053689,47460
1769680303096452,47550
1769680303139583,47500
1769680303184394,47450
1769680303227330,47530
1769680303270338,47600
1769680303313333,47570
1769680303356213,47630
1769680303398712,47660
1769680303441873,47670
1769680303485007,47630
1769680303527409,47620
1769680303570600,47700
1769680303613539,47720
1769680303656024,47660
1769680303699158,47610
1769680303744634,47540
1769680303787903,47550
1769680303831078,47810
1769680303874139,47590
1769680303917155,47460
1769680303960323,47470
1769680304003168,47450
1769680304046306,47420
1769680304089340,47430
1769680304132493,47440
1769680304175002,47400
1769680304217763,47450
1769680304264694,47530
1769680304307096,47450
1769680304349682,47460
1769680304392658,47450
1769680304435787,47550
1769680304478750,47470
1769680304521663,47540
1769680304564790,47610
1769680304607826,47580
1769680304650927,47630
1769680304693940,47660
1769680304737106,47620
1769680304780008,47650
1769680304825084,47650
1769680304868216,47630
1769680304911044,47610
1769680304954150,47590
1769680304997164,47610
1769680305040344,47650
1769680305083267,47650
1769680305126267,47630
1769680305169307,47590
1769680305212295,47640
1769680305255423,47620
1769680305297870,47470
1769680305340356,47500
1769680305385140,47480
1769680305427969,47470
1769680305471119,47440
1769680305514383,47370
1769680305557033,47430
1769680305600139,47390
1769680305643232,47370
1769680305686165,47380
1769680305729534,47440
1769680305772684,47380
1769680305815490,47470
1769680305858645,47380
1769680305905240,47520
1769680305948330,47390
1769680305991183,47490
1769680306033823,47420
1769680306077060,47420
1769680306119745,47300
1769680306162401,47340
1769680306205169,47310
1769680306248222,47330
1769680306291010,47470
1769680306333868,47410
1769680306376816,47310
1769680306419720,47380
1769680306465443,47440
1769680306508443,47450
1769680306550982,47450
1769680306594169,47450
1769680306637307,47440
1769680306680290,47430
1769680306722908,47520
1769680306765795,47400
1769680306808916,47420
1769680306851886,47380
1769680306894762,47390
1769680306937923,47410
1769680306981152,47400
1769680307025583,47350
1769680307068672,47470
1769680307111673,47440
1769680307154887,47550
1769680307197751,47620
1769680307240567,47540
1769680307283197,47520
1769680307325505,47560
1769680307368532,47630
1769680307411455,47590
1769680307454434,47610
1769680307497507,47640
1769680307540575,47620
1769680307585822,47670
1769680307628973,47670
1769680307671890,47680
1769680307715086,47670
1769680307758288,47630
1769680307801414,47740
1769680307844334,47640
1769680307887242,47630
1769680307930147,47610
1769680307973197,47610
1769680308016284,47590
1769680308059299,47480
1769680308105855,47520
1769680308149080,47520
1769680308192153,47550
1769680308235176,47430
1769680308278265,47490
1769680308321397,47390
1769680308363824,47380
1769680308406044,47410
1769680308449247,47320
1769680308492255,47400
1769680308535403,47350
1769680308578495,47340
1769680308621613,47390
1769680308665986,47430
1769680308709078,47490
1769680308751802,47400
1769680308794758,47460
1769680308837826,47390
1769680308880820,47480
1769680308923811,47430
1769680308966950,47380
1769680309009422,47450
1769680309052355,47370
1769680309095604,47460
1769680309138019,47440
1769680309181168,47540
1769680309226028,47370
1769680309269173,47360
1769680309312336,47440
1769680309354883,47380
1769680309397800,47390
1769680309440215,47440
1769680309483169,47480
1769680309526293,47440
1769680309569310,47520
1769680309611947,47480
1769680309654951,47480
1769680309698217,47460
1769680309741442,47500
1769680309786248,47500
1769680309829293,47430
1769680309872318,47500
1769680309915384,47480
1769680309958574,47470
1769680310001467,47470
1769680310044445,47470
1769680310087673,47390
1769680310131165,47300
1769680310174369,47490
1769680310217384,47440
1769680310260604,47420
1769680310306279,47580
1769680310349330,47490
1769680310392284,47510
1769680310434851,47530
1769680310477705,47490
1769680310520800,47480
1769680310563888,47480
1769680310606598,47530
1769680310649749,47500
1769680310692785,47580
1769680310735514,47570
1769680310778594,47640
1769680310821591,47600
1769680310866446,47550
1769680310909583,47630
1769680310952658,47530
1769680310995649,47570
1769680311038774,47530
1769680311081839,47430
1769680311124932,47490
1769680311167800,47540
1769680311210692,47540
1769680311253793,47490
1769680311296828,47410
1769680311339034,47440
1769680311382068,47460
1769680311426410,47440
1769680311469406,47440
1769680311512493,47400
1769680311555558,47380
