unix_timestamp,active_power (mW)
1769682554216862,34600
1769682554259855,20810
1769682554302663,38650
1769682554345754,44870
1769682554390471,48310
1769682554433547,48240
1769682554476490,48240
1769682554519163,48350
1769682554562292,48300
1769682554605505,48330
1769682554648594,48220
1769682554691593,48340
1769682554734007,48220
1769682554777309,48290
1769682554820182,48180
1769682554863003,48270
1769682554905954,48250
1769682554950657,48230
1769682554993912,48220
1769682555037051,48250
1769682555080262,48150
1769682555123119,48180
1769682555166290,48180
1769682555209397,48270
1769682555252477,48310
1769682555295465,48260
1769682555337927,48240
1769682555381106,48210
1769682555424000,48190
1769682555470945,48090
1769682555514038,48200
1769682555557311,48190
1769682555600368,48230
1769682555643449,48250
1769682555686330,48180
1769682555729260,48180
1769682555771601,48170
1769682555813956,48280
1769682555857087,48240
1769682555900011,48230
1769682555942593,48220
1769682555985416,48180
1769682556031265,48160
1769682556074396,48130
1769682556117382,48180
1769682556160432,48170
1769682556203513,48160
1769682556245854,48210
1769682556289088,48200
1769682556331980,48160
1769682556374998,48230
1769682556418247,48260
1769682556461429,48240
1769682556504362,48290
1769682556547711,48240
1769682556591642,48250
1769682556634341,48370
1769682556677383,48390
1769682556720262,48430
1769682556762859,48410
1769682556805709,48360
1769682556848789,48420
1769682556891795,48440
1769682556935012,48440
1769682556977493,48430
1769682557020436,48400
1769682557063694,48410
1769682557106529,48290
1769682557152035,48410
1769682557194696,48360
1769682557237702,48360
1769682557280891,48310
1769682557323871,48340
1769682557367066,48350
1769682557410057,48440
1769682557453205,48510
1769682557496334,48490
1769682557539268,48360
1769682557581881,48460
1769682557625054,48380
1769682557667999,48370
1769682557712321,48430
1769682557755437,48420
1769682557798039,48460
1769682557841297,48430
1769682557884201,48340
1769682557927099,48420
1769682557969936,48360
1769682558013156,48410
1769682558056357,48420
1769682558099303,48320
1769682558142543,48300
1769682558185526,48260
1769682558228324,48230
1769682558272601,48140
1769682558315860,48200
1769682558358864,48180
1769682558401819,48240
1769682558444766,48200
1769682558487707,48220
1769682558530863,48130
1769682558573837,48150
1769682558617035,48260
1769682558659992,48190
1769682558703242,48280
1769682558745866,48210
1769682558788220,48250
1769682558833062,48400
1769682558876279,48330
1769682558919094,48350
1769682558961323,48410
1769682559004480,48310
1769682559047466,48420
1769682559089746,48450
1769682559132845,48460
1769682559175393,48540
1769682559218262,48390
1769682559261311,48390
1769682559304404,48430
1769682559346999,48450
1769682559393449,48360
1769682559436398,48340
1769682559479478,48440
1769682559522540,48410
1769682559565591,48360
1769682559608826,48380
1769682559651864,48370
1769682559694681,48340
1769682559737834,48290
1769682559780897,48380
1769682559823982,48440
1769682559866666,48480
1769682559909911,48420
1769682559953928,48410
1769682559997045,48380
1769682560039966,48450
1769682560082430,48400
1769682560125650,48370
1769682560168807,48320
1769682560211167,48250
1769682560253914,48270
1769682560296888,48240
1769682560339685,48270
1769682560382378,48280
1769682560425424,48200
1769682560468315,48160
1769682560514275,48150
1769682560557304,48220
1769682560600269,48200
1769682560643260,48160
1769682560686401,48260
1769682560729162,48190
1769682560772364,48120
1769682560814849,48230
1769682560857855,48290
1769682560900921,48260
1769682560943943,48230
1769682560986963,48230
1769682561029871,48250
1769682561074605,48370
1769682561117799,48290
1769682561161012,48370
1769682561203892,48480
1769682561246760,48320
1769682561289765,48320
1769682561332936,48370
1769682561375804,48370
1769682561418827,48330
1769682561461361,48390
1769682561504414,48440
1769682561547536,48390
1769682561590085,48520
1769682561635175,48430
1769682561677718,48400
1769682561720999,48420
1769682561763478,48480
1769682561805817,48330
1769682561848754,48390
1769682561891672,48330
1769682561934692,48390
1769682561977444,48360
1769682562020664,48340
1769682562063735,48320
1769682562106668,48390
1769682562149587,48360
1769682562195359,48240
1769682562237796,48220
1769682562280770,48270
1769682562323598,48380
1769682562366597,48330
1769682562409719,48280
1769682562452841,48310
1769682562495872,48540
1769682562538795,48510
1769682562581287,48400
1769682562624371,48340
1769682562667254,48420
1769682562709707,48470
1769682562756006,48410
1769682562798785,48330
1769682562842058,48440
1769682562885165,48510
1769682562928043,48450
1769682562971055,48390
1769682563014613,48520
1769682563057786,48420
1769682563100830,48450
1769682563143957,48410
1769682563186667,48450
1769682563229735,48440
1769682563276241,48360
1769682563318964,48350
1769682563362017,48320
1769682563405214,48360
1769682563448434,48190
1769682563491345,48250
1769682563533820,48260
1769682563576995,48280
1769682563619623,48230
1769682563662811,48220
1769682563705877,48170
1769682563748980,48160
1769682563791796,48180
1769682563836666,48240
1769682563879548,48220
1769682563922035,48150
1769682563964443,48230
1769682564007562,48230
1769682564050642,48270
1769682564093861,48230
1769682564136936,48280
1769682564180032,48290
1769682564222691,48280
1769682564265944,48310
1769682564309067,48310
1769682564352144,48310
1769682564397208,48280
1769682564440082,48240
1769682564483127,48310
1769682564526166,48300
1769682564569063,48250
1769682564612145,48340
1769682564655119,48360
1769682564698081,48340
1769682564741141,48370
1769682564783756,48310
1769682564826543,48350
1769682564869658,48300
1769682564912673,48440
1769682564957593,48410
1769682565000161,48360
1769682565042857,48380
1769682565085889,48410
1769682565128921,48370
1769682565171727,48570
1769682565214618,48380
1769682565257785,48400
1769682565300774,48420
1769682565343296,48420
1769682565386496,48350
1769682565429440,48540
1769682565472393,48380
1769682565518258,48450
1769682565561348,48440
1769682565604370,48470
1769682565647170,48450
1769682565689808,48460
1769682565732446,48480
1769682565775342,48400
1769682565818094,48410
1769682565861205,48340
1769682565904053,48490
1769682565946651,48400
1769682565989897,48410
1769682566032287,48370
1769682566078548,48440
1769682566121518,48460
1769682566164604,48450
1769682566207605,48350
1769682566250051,48410
1769682566292963,48460
1769682566335830,48470
1769682566378795,48440
